userId,movieId,rating
1,8,3
1,2,3.5
1,18,5
1,16,4.5
1,15,3
1,9,5
1,7,4
1,6,3.5
1,28,1
1,39,2.5
1,1,4.5
1,3,4
1,34,3.5
1,40,2.5
1,17,3
1,20,4
1,30,2
1,38,2
2,7,4
2,23,4
2,39,3
2,17,2
2,3,1
2,30,3.5
2,8,3
2,25,3.5
2,6,2
2,18,3
2,10,2
2,27,4.5
2,21,3.5
2,20,5
3,24,4
3,11,1
3,40,3
3,23,1
3,14,4
3,18,4.5
3,5,3.5
3,39,2
3,16,3
3,6,4
3,15,4
3,13,3
3,9,3.5
3,21,5
3,37,4.5
3,35,3.5
3,8,5
3,22,2.5
4,9,2
4,16,1
4,36,2
4,35,2.5
4,17,3.5
4,28,2.5
4,26,3.5
4,24,4.5
4,15,4
4,5,2
4,38,4.5
4,39,4.5
5,30,5
5,34,2.5
5,17,5
5,36,2
5,1,3.5
5,8,3.5
5,18,3.5
5,22,5
5,35,4
5,10,3
5,14,2.5
5,6,4
5,15,2.5
5,37,5
5,24,5
5,26,1
5,9,4
6,32,2
6,2,5
6,8,2.5
6,24,2.5
6,20,3.5
6,16,5
6,4,5
6,35,2.5
6,6,3.5
6,3,5
6,37,4
6,33,4.5
6,27,3
7,13,4
7,20,3
7,26,1
7,24,2
7,29,3.5
7,34,1
7,36,3
7,8,2
7,16,1
7,33,4
7,3,2
7,11,5
7,1,3
7,19,3.5
7,18,3.5
7,31,5
8,35,3.5
8,9,4.5
8,37,4
8,38,4.5
8,31,4.5
8,16,5
8,36,1
8,27,3.5
8,13,3.5
8,4,3.5
8,34,2
9,26,4.5
9,22,2.5
9,7,3.5
9,16,5
9,13,3
9,36,2
9,29,5
9,9,5
10,4,3
10,35,4.5
10,1,1
10,6,2.5
10,16,4.5
10,11,1
10,27,4.5
10,32,3.5
10,31,5
11,28,1
11,36,4
11,32,5
11,10,5
11,13,5
11,19,2.5
11,14,1
11,4,5
11,33,2
11,24,2.5
11,11,2
11,2,4
12,16,3.5
12,26,3
12,8,3.5
12,37,4
12,40,3
12,3,3.5
12,6,4.5
12,27,2.5
12,21,3.5
13,20,5
13,30,5
13,21,3.5
13,5,4
13,1,3.5
13,39,5
13,7,1
13,37,3.5
13,14,5
13,17,3.5
13,9,3.5
13,33,2
13,12,2.5
13,3,3.5
13,8,2
13,28,2
13,10,5
13,6,2.5
14,19,1
14,39,2
14,14,3.5
14,22,4.5
14,38,3.5
14,17,1
14,33,1
14,32,4
14,35,2.5
14,29,3.5
14,30,3.5
14,28,2.5
15,29,1
15,36,4
15,28,3
15,39,3.5
15,1,3
15,8,3.5
15,5,2
15,10,4
15,3,5
15,27,4.5
15,12,4
15,19,2.5
15,18,3
15,34,2.5
15,14,2.5
15,31,4.5
15,2,1
15,33,2.5
15,30,4
16,27,4.5
16,16,4
16,18,3.5
16,11,2
16,7,3.5
16,25,4
16,3,3.5
16,31,5
16,15,4.5
16,36,3.5
16,40,5
16,32,4
16,12,1
16,10,2
16,26,3.5
16,8,2.5
16,35,4
16,1,3.5
16,22,1
16,33,2
17,28,3.5
17,23,3
17,21,4
17,40,4.5
17,33,2
17,8,3.5
17,25,4
17,13,4
17,17,4
17,2,3.5
17,39,2
17,14,3.5
17,1,5
17,32,3.5
17,26,3.5
17,18,4.5
17,22,4
18,19,3
18,36,4.5
18,9,4
18,13,4
18,27,3.5
18,25,4
18,12,5
18,20,5
18,26,5
18,18,3.5
18,39,3
18,1,5
18,10,5
18,28,2.5
19,6,4.5
19,19,3.5
19,33,4
19,22,3
19,40,4.5
19,16,5
19,20,4.5
19,15,3
19,13,2.5
19,5,3.5
19,1,1
19,2,2
19,8,4.5
19,35,3
19,34,2.5
19,25,5
19,3,5
19,38,1
20,16,5
20,8,3.5
20,30,3
20,9,3.5
20,38,3.5
20,34,5
20,21,5
20,29,3.5
20,28,3
20,27,3.5
20,36,5
20,18,2
20,15,3.5
20,6,3
20,24,3.5
20,40,4
21,35,5
21,6,4.5
21,9,1
21,10,3
21,15,4.5
21,25,4.5
21,37,4
21,14,1
21,5,4
21,33,4.5
21,31,5
21,11,1
21,18,4
22,25,4
22,27,3.5
22,35,3.5
22,38,4.5
22,15,2.5
22,32,5
22,36,2.5
22,18,4
22,28,5
22,16,1
22,1,4.5
22,13,4
23,2,4.5
23,6,3.5
23,28,2
23,9,5
23,30,1
23,12,5
23,4,1
23,17,4
23,25,3
23,11,3.5
23,7,2
23,15,3.5
23,31,1
23,38,1
23,32,3
23,13,3
23,37,1
24,10,3.5
24,16,2
24,9,4
24,31,1
24,8,3.5
24,14,4
24,30,3.5
24,17,4.5
24,24,4.5
24,6,3
24,20,2
24,34,4
24,32,3.5
24,23,3
24,4,2
24,25,3.5
24,37,3.5
25,8,3.5
25,37,5
25,3,2.5
25,23,4.5
25,35,2.5
25,28,5
25,24,3.5
25,5,3.5
25,22,4
25,1,5
25,36,5
25,14,5
25,27,4.5
25,16,4
25,4,3.5
25,29,4
25,12,3
